track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
5rgy6ghBq1eRApCkeUdJXf,We Are Young (feat. Janelle Monáe),fun.,Some Nights,2012-02-14,82,250626,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,70,3080964,82,,146
25gGghBPdAV9RH6aRj76ck,Stay All Night,Summerdrive,Wild In Our Ways,2018-11-02,33,241240,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,36,8502,33,,185
4Wzq3Su2wOfAYv8PXpK3Mn,U9 NOW,Jan Metternich,Broken Symphonies,2024-07-26,53,125509,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,53,,185
4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,Plain White T's,All That We Needed,2005-01-25,82,232533,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,65,1323189,82,,184
0xuInhBaOuV4YqfflFSwwt,In Time,Summerdrive,In Time,2025-03-14,35,200267,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,36,8502,35,,185
7xrC2OrrUivFoH1w2rQ69r,PROVE ME WRON6,Jan Metternich,Broken Symphonies,2024-07-26,55,115326,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,55,,185
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,Dopamine,2015-10-16,83,218106,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,69,1354649,83,,184
55YKZHz6qY7jasqOJdcnGY,transatlantic paradise,Alex Tyché,transatlantic paradise,2024-08-23,23,161536,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,latin r&b,20,472,23,,185
5jU9yWn6SkxXhTdP0aWUlh,GHOS1 1N MY ROOM,Jan Metternich,Broken Symphonies,2024-07-26,58,156279,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,58,,185
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,Bridgit Mendler,Hello My Name Is...,2012-01-01,74,200946,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,64,1340996,74,,153
