track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
6XD3HMATLswheYevIfKkSi,All Over The Road,Easton Corbin,All Over The Road,2012-01-01,68,163066,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",59,974212,68,,184
0SF38KDlXNLJAxbYyOMnCy,Loud and Heavy,Cody Jinks,Adobe Sessions,2015-01-12,1,229927,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"red dirt, texas country, outlaw country, country",69,1129757,1,,0
3mYIIi1M6uySDWa2UmyDul,Can't Write A Love Song,Riley Green,Bury Me In Dixie,2018-01-01,37,231794,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,37,,184
6ioWVLiVdOLtpKiz8SFRmN,Never Done It Sober,Riley Green,Bury Me In Dixie,2018-01-01,37,233692,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,37,,184
1BWq6vqgF679jaHo3Hb0se,Runnin' With An Angel,Riley Green,Runnin' With An Angel,2018-06-01,49,235693,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,49,,184
6N6IavjzVG9LLP1pKxTiJ1,Break Up More Often,Riley Green,In A Truck Right Now,2018-06-29,0,203053,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,79,1187341,0,,0
698eQRku24PIYPQPHItKlA,She Got the Best of Me,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,82,183160,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,82,,185
7nfmK6oHPDlAd68A11d7AN,Beer Never Broke My Heart,Luke Combs,The Prequel - EP,2019-06-07,0,186800,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,0,,0
3EWMoDIm6lzuR0zQKtuCJX,Up Down (feat. Florida Georgia Line),Morgan Wallen,If I Know Me,2018-04-27,8,197253,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,8,,0
6ERR6e7h6wCqGoz1TjiUJb,Knockin' Boots,Luke Bryan,Knockin' Boots,2019-03-29,64,199382,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,64,,184
6voi5xnLs9JKmWG2oLmgDU,Raised on Country,Chris Young,Raised on Country,2019-01-04,54,175594,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",69,2880726,54,,185
7hvO2qCwJVZxiyoA7c9i5d,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,No.6 Collaborations Project,2019-07-12,63,209120,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,soft pop,92,121034098,63,,185
4qQwGRtGT7l6ckQtdPEFd4,Talk You Out Of It,Florida Georgia Line,Can't Say I Ain't Country,2019-02-15,63,202920,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, pop country, acoustic country",76,5554320,63,,184
6guWjUuNYziyNXgjFo1IpF,"Houston, We Got a Problem",Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,71,191986,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,71,,185
2yQZwi1P8AkkxxFhQ8rMEK,Greatest Love Story,LANCO,Hallelujah Nights,2018-01-19,70,222573,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,54,403007,70,,185
001UkMQHw4zXfFNdKpwXAF,Brand New Man - with Luke Combs,Brooks & Dunn,Reboot,2019-04-05,70,191053,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, classic country, acoustic country",76,3227426,70,,185
79LAFAkR1ATb4iIQvZuCL0,Most People Are Good,Luke Bryan,What Makes You Country,2017-12-08,65,221800,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,65,,184
