track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available,artist_genres_clean,release_date_parsed,release_year,release_month,release_decade,artist_popularity_is_outlier,track_popularity_is_outlier,artist_followers_is_outlier,duration_ms_is_outlier,duration_minutes,artist_tier,popularity_category,music_era,genre_count,track_age
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,82,193200,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,82,,185,country,2018-06-01,2018.0,6.0,2010.0,False,False,False,False,3.22,Superstar,Viral,2010s,1,7.0
2qcHhMi1MQBDEtzy8p4tRR,Drinkin' Problem,Midland,On The Rocks (Big Machine Radio Release Special),2017-09-22,51,221466,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, honky tonk",69,350978,51,,184,"country, honky tonk",2017-09-22,2017.0,9.0,2010.0,False,False,False,False,3.6911,Large,Medium,2010s,2,8.0
6foY66mWZN0pSRjZ408c00,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,14,234346,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,96,13031159,14,,0,country,2018-04-27,2018.0,4.0,2010.0,False,False,False,False,3.9057666666666666,Superstar,Unknown,2010s,1,7.0
1dyxS3YzBbL0t8rEVwVQ1K,God's Country,Blake Shelton,God's Country,2019-03-29,72,205106,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,75,7459988,72,,185,country,2019-03-29,2019.0,3.0,2010.0,False,False,False,False,3.418433333333333,Superstar,High,2010s,1,6.0
4T5Z4mbTe7kuGqgLpaRtTh,Any Ol' Barstool,Jason Aldean,They Don't Know,2016-09-09,1,203293,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",79,6921226,1,,0,"country, acoustic country",2016-09-09,2016.0,9.0,2010.0,False,False,False,False,3.3882166666666667,Superstar,Unknown,2010s,2,9.0
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,Chris Stapleton,From A Room: Volume 1,2017-05-05,82,180906,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, outlaw country",85,8604990,82,,184,"country, outlaw country",2017-05-05,2017.0,5.0,2010.0,False,False,False,False,3.0151,Superstar,Viral,2010s,2,8.0
0s6OWiWGuiCcm1Muzch5A8,Fix a Drink,Chris Janson,EVERYBODY,2017-09-22,66,188933,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,63,422161,66,,184,country,2017-09-22,2017.0,9.0,2010.0,False,False,False,False,3.1488833333333335,Large,High,2010s,1,8.0
2sSgZkaAOIfkzNDhndiLvZ,The Weekend,Brantley Gilbert,The Devil Don't Sleep (Deluxe / Big Machine Radio Release Special),2017-01-27,45,188373,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, country rock, country hip hop, acoustic country",69,3028258,45,,184,"country, country rock, country hip hop, acoustic country",2017-01-27,2017.0,1.0,2010.0,False,False,False,False,3.13955,Superstar,Medium,2010s,4,8.0
08wJ1B9yu9sPeoRa5fbpr3,It Ain't My Fault,Brothers Osborne,Pawn Shop,2016-01-15,68,216800,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, country rock",64,1268392,68,,184,"country, country rock",2016-01-15,2016.0,1.0,2010.0,False,False,False,False,3.6133333333333333,Superstar,High,2010s,2,9.0
68JS5SFTnW5Yv9Vzw81Jf0,Millionaire,Chris Stapleton,From A Room: Volume 2,2017-12-01,79,210133,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, outlaw country",85,8604990,79,,184,"country, outlaw country",2017-12-01,2017.0,12.0,2010.0,False,False,False,False,3.5022166666666665,Superstar,High,2010s,2,8.0
